date;time;status;reference;description;assetType;type;isin;shares;price;amount;fee;tax;currency
2025-04-01;02:00:00;Executed;"b74ae081-7a4d-49f5-8186-5a9ce355876f";;Cash;Interest;;;;0,56;0,00;0,20;EUR
2025-03-10;17:21:50;Executed;"SCALtmqNARxPwRm";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;5;52,05;-260,25;0,00;0,00;EUR
2025-03-10;15:55:01;Cancelled;"SCALssj4ZGvHy1J";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;0;0,00;0,00;0,00;0,00;EUR
2025-03-10;13:35:37;Cancelled;"SCAL5GCftLByMzM";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;0;0,00;0,00;0,00;0,00;EUR
2025-03-05;19:32:56;Executed;"SCALqn7BKeGHwXE";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;5;52,50;-262,50;0,00;0,00;EUR
2025-02-26;01:00:00;Executed;"wcq1cSk8ua6ZncCHPFtyC2";"Emergency fund";Cash;Deposit;;;;500,00;0,00;;EUR
2025-02-25;16:30:56;Executed;"SCALAzE27NQim5k";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;5;53,70;-268,50;0,00;0,00;EUR
2025-02-25;16:26:02;Cancelled;"SCALEVzhpCcKCiU";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;0;0,00;0,00;0,00;0,00;EUR
2025-02-25;16:23:49;Executed;"SCALqWPsGrvs1rJ";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;5;53,90;-269,50;0,00;0,00;EUR
2025-02-21;01:00:00;Executed;"mk6wyoF7R78r2fSNGrvDJP";"Sent from N26";Cash;Deposit;;;;1,00;0,00;;EUR
2025-02-21;01:00:00;Executed;"3DBNMZ61EZBTBACOYYW9GM";"Scalable Capital Broker withdrawal";Cash;Withdrawal;;;;-80,74;0,00;;EUR
2025-02-21;01:00:00;Executed;"4dSb7aNAcpGBdPEQ7GbUjh";"Emergency fund";Cash;Deposit;;;;500,00;0,00;;EUR
2025-02-21;01:00:00;Executed;"oVzYodarcCd889erLmXkpX";"";Cash;Deposit;;;;80,74;0,00;;EUR
2024-11-27;18:48:27;Executed;"SCALo3pvgZbZG5S";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;6;48,642;-291,8519;0,00;0,00;EUR
2024-11-27;18:47:38;Cancelled;"SCALYtczYqg2iqC";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;0;0,00;0,00;0,00;0,00;EUR
2024-11-27;17:33:07;Cancelled;"SCALm7JVwsw1g7q";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;0;0,00;0,00;0,00;0,00;EUR
2024-11-26;10:10:32;Cancelled;"SCALLqwqcgVagGV";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;0;0,00;0,00;0,00;0,00;EUR
2024-11-25;15:17:32;Executed;"SCALMamTtAL5aGL";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;6;48,994;-293,964;0,00;0,00;EUR
2024-11-20;10:28:51;Executed;"SCALBN6t3kdN5mk";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;6;48,278;-289,668;0,00;0,00;EUR
2024-11-11;01:00:00;Executed;"946450390";"Emergency fund";Cash;Deposit;;;;936,00;0,00;;EUR
2024-11-04;11:31:17;Executed;"SCALRBqeoHZF9sv";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;6;48,896;-293,3759;0,00;0,00;EUR
2024-10-31;16:35:42;Executed;"SCALkwuTzLpSWBG";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;6;49,00;-294,00;0,00;0,00;EUR
2024-10-31;14:48:15;Executed;"SCALX2dKisWmm53";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;6;49,392;-296,3519;0,00;0,00;EUR
2024-10-31;14:48:02;Cancelled;"SCALFEo6kj77pLV";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;0;0,00;0,00;0,00;0,00;EUR
2024-10-31;14:44:38;Executed;"SCALty8KqpBKZBz";"iShares Physical Gold ETC";Security;Buy;IE00B4ND3602;6;49,344;-296,064;0,00;0,00;EUR
2024-10-30;01:00:00;Executed;"945763338";"Dental fund mapped to emergency fund";Cash;Deposit;;;;1.200,00;0,00;;EUR
2024-10-14;13:36:43;Executed;"SCALaZd8BxFGuSC";"iShares Physical Gold ETC";Security;Savings plan;IE00B4ND3602;0,891;47,298;-42,1425;0,00;0,00;EUR
