date;time;status;reference;description;assetType;type;isin;shares;price;amount;fee;tax;currency
2026-04-07;14:38:31;Executed;"SCALdrGPxkvTZrr";"Boerse Stuttgart EUWAX Gold II";Security;Buy;DE000EWG2LD7;2;132,955;-265,91;0,00;0,00;EUR
2026-04-01;11:26:17;Executed;"SCALnxZfDoLDgLx";"Boerse Stuttgart EUWAX Gold II";Security;Savings plan;DE000EWG2LD7;1,858133;134,5436457589;-249,99998812492215;0,00;0,00;EUR
2026-04-01;02:00:00;Executed;"FJVEASDI83PLYIGJNLNDPK";"Internal Transfer";Cash;Cash Transfer Out;;;;-2.000,00;0,00;;EUR
2026-04-01;02:00:00;Executed;"17357206-a59f-4a73-9232-d33bc45d5044";;Cash;Interest;;;;2,81;0,00;1,00;EUR
2026-03-30;11:38:14;Executed;"SCALu33WbEYp7mD";"Boerse Stuttgart EUWAX Gold II";Security;Buy;DE000EWG2LD7;2;129,235;-258,47;0,00;0,00;EUR
2026-03-26;18:18:07;Executed;"SCALLG5Y1oSpJYR";"Boerse Stuttgart EUWAX Gold II";Security;Buy;DE000EWG2LD7;3;124,316;-372,948;0,00;0,00;EUR
2026-03-26;09:36:23;Executed;"SCALxTj3ZjgadSi";"Boerse Stuttgart EUWAX Gold II";Security;Buy;DE000EWG2LD7;3;125,938;-377,814;0,99;0,00;EUR
2026-03-26;09:31:26;Cancelled;"SCAL3kcdCyimT8t";"Boerse Stuttgart EUWAX Gold II";Security;Buy;DE000EWG2LD7;0;0,00;0,00;0,00;0,00;EUR
2026-03-26;01:00:00;Executed;"FORG48FJACTYMIAP";"PRIME+ subscription";Cash;Fee;;;;-4,99;0,00;;EUR
2026-03-25;11:40:09;Executed;"SCALtunDBkMbZuU";"Xtrackers Nasdaq 100 (Acc)";Security;Savings plan;IE00BMFKG444;1,032098;48,445;-49,99998761;0,00;0,00;EUR
2026-03-25;01:00:00;Executed;"43A59BZXQS9RF5B1HT7ZTS";"Internal Transfer";Cash;Cash Transfer Out;;;;-4.000,00;0,00;;EUR
2026-03-25;01:00:00;Executed;"5S46JAAJGKAHL3DRMT1MGQ";"Internal Transfer";Cash;Cash Transfer Out;;;;-5.000,00;0,00;;EUR
2026-03-23;07:38:21;Executed;"SCALhUfWq9xgMQB";"iShares Physical Gold ETC";Security;Sell;IE00B4ND3602;120,583584;71,10;8.573,4928224;0,99;390,97;EUR
2026-03-23;07:37:30;Cancelled;"SCALjQdFEjYjHwL";"iShares Physical Gold ETC";Security;Sell;IE00B4ND3602;0;0,00;0,00;0,00;0,00;EUR
2026-03-23;07:32:18;Cancelled;"SCALFsfTK5ZYYzY";"iShares Physical Gold ETC";Security;Sell;IE00B4ND3602;0;0,00;0,00;0,00;0,00;EUR
2026-03-20;16:52:15;Executed;"SCALUjENXqKoRhE";"iShares Physical Gold ETC";Security;Sell;IE00B4ND3602;70;76,605;5.362,35;0,99;385,91;EUR
2026-03-20;16:05:55;Cancelled;"SCALFupSCpKi9rh";"iShares Physical Gold ETC";Security;Sell;IE00B4ND3602;0;0,00;0,00;0,00;0,00;EUR
2026-03-19;01:00:00;Executed;"427071_kTjbKRBDHxGByLgGW33JV6";"Alphabet A";Cash;Distribution;US02079K3059;;;0,06;0,00;0,02;EUR
2026-03-18;15:04:58;Cancelled;"SCALchywX256PcH";"iShares Physical Gold ETC";Security;Sell;IE00B4ND3602;0;0,00;0,00;0,00;0,00;EUR
2026-03-10;11:42:09;Executed;"SCALekJimPAdp3i";"Microsoft";Security;Savings plan;US5949181045;0,141984;352,15;-49,9996656;0,00;0,00;EUR
